symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
CTK_KRW,B,2025-07-16 15:00:00,447.33799999999997,2025-07-17 00:00:00,445.554,-0.003988035892323013,SL,1,-0.011932811431177243,52.91666666357986,447.33799999999997,446.0,747560137.50338,2891104750.8321066
KAIA_KRW,B,2025-07-17 00:00:00,210.20999999999998,2025-07-18 00:00:00,217.782,0.017510560867703823,Trail,2,0.0,46.03174602151676,210.20999999999998,218.0,45410302840.62719,35830451853.92513
TEMCO_KRW,B,2025-07-22 00:00:00,2.241474,2025-07-22 15:00:00,2.234749578,-0.003000000000000003,SL,1,-0.018503002934676025,33.29383831029179,2.241474,2.297,1095374971.4701066,444961842.9938467
MAGIC_KRW,B,2025-07-23 00:00:00,244.488,2025-07-23 15:00:00,228.313,-0.0661586662740094,SL,1,-0.1860541212656654,31.092436971131974,244.488,229.0,1080226550.3358161,773943661.2774534
FANC_KRW,B,2025-07-26 00:00:00,8.263717,2025-07-26 15:00:00,8.238925849,-0.003000000000000062,SL,1,-0.024409959828004806,42.51434502076115,8.263717,8.449,693535831.3117282,543472124.845267
KNC_KRW,B,2025-07-26 00:00:00,567.132,2025-07-27 00:00:00,588.82,0.018120769062581615,Trail,2,0.0,23.17518248115975,567.132,590.0,927961117.6402749,1338294725.534575
ArchLoot_KRW,B,2025-07-26 15:00:00,46.60941,2025-07-27 00:00:00,46.42353,-0.003988035892322975,SL,1,-0.011787533890688482,45.8224542801778,46.60941,46.47,389768103.2112054,4827219803.200914
TEMCO_KRW,B,2025-07-26 15:00:00,2.3179329999999996,2025-07-27 00:00:00,2.304067,-0.005982053838484424,SL,1,-0.03707311643606583,51.77935814072774,2.3179329999999996,2.311,606402548.4383001,201285903.11848632
POLA_KRW,B,2025-07-27 00:00:00,24.17025,2025-07-27 15:00:00,23.85015,-0.013243553542061007,SL,1,-0.040556055481428537,45.30831082189912,24.17025,23.97,105462578.7962751,190110161.01606527
KNC_KRW,B,2025-07-27 00:00:00,591.18,2025-07-28 00:00:00,593.406,0.001382675327311471,Trail,2,0.0,36.94444444300772,591.18,594.0,1338294725.534575,39162673601.48315
ZIL_KRW,B,2025-07-28 00:00:00,21.36134,2025-07-28 15:00:00,19.95994,-0.06560449859418926,SL,1,-0.1105426906738996,35.171696098605224,21.36134,20.02,3917178262.0199265,461887830.27396536
KNC_KRW,B,2025-07-28 00:00:00,594.5939999999999,2025-07-29 00:00:00,639.36,0.03714417400781042,Trail,2,0.0,60.796645700521694,594.5939999999999,753.0,39162673601.48315,5887030131.918636
KNC_KRW,B,2025-07-29 00:00:00,753.7529999999999,2025-07-29 15:00:00,639.36,-0.1517645700912632,SL,1,-0.1920430167442119,51.878354202636324,753.7529999999999,640.0,5887030131.918636,2946239987.2513714
AUCTION_KRW,B,2025-07-29 00:00:00,15335.319999999998,2025-07-29 15:00:00,14979.98,-0.023171345625653615,SL,1,-0.09816032531437219,50.34722222209985,15335.319999999998,15010.0,9342030867.616842,1661651599.7151396
THE_KRW,B,2025-07-30 00:00:00,556.665,2025-07-30 15:00:00,538.295,-0.03300009880269104,SL,1,-0.06945829179129273,36.8932038818236,556.665,541.0,363879977.8941759,132823104.62822649
WOO_KRW,B,2025-08-01 00:00:00,98.62852999999998,2025-08-02 00:00:00,133.866,0.17813730707534645,Trail,2,0.0,65.54303476862637,98.62852999999998,153.0,49604676271.18104,13162936674.181236
WOO_KRW,B,2025-08-02 00:00:00,153.153,2025-08-02 15:00:00,132.867,-0.13245577951460305,SL,1,-0.24911689617571967,57.207054427667465,153.153,133.0,13162936674.181236,5790953958.295701
MAGIC_KRW,B,2025-08-02 00:00:00,203.20299999999997,2025-08-03 00:00:00,230.769,0.06732872300113688,Trail,2,0.0,64.12213739772741,203.20299999999997,269.0,35751480460.304245,8926173040.003248
MAGIC_KRW,B,2025-08-03 00:00:00,269.26899999999995,2025-08-03 15:00:00,229.77,-0.14668974148528033,SL,1,-0.15326309378353972,45.80645160876587,269.26899999999995,230.0,8926173040.003248,37657602470.045364
TOKAMAK_KRW,B,2025-08-03 00:00:00,1814.8129999999999,2025-08-04 00:00:00,1922.076,0.02905208057248879,Trail,2,0.0,38.8508891921424,1814.8129999999999,1924.0,6236796906.85582,4786633138.240445
ETH_KRW,B,2025-08-04 00:00:00,4865860.999999999,2025-08-05 00:00:00,5010984.0,0.014412365971818903,Trail,2,0.0,45.604395604395165,4865860.999999999,5073000.0,97591348400.46231,127493642476.35591
UNI_KRW,B,2025-08-04 00:00:00,12785.52,2025-08-05 00:00:00,13406.58,0.023787631633285154,Trail,2,0.0,38.60182370812456,12785.52,13750.0,1967038084.8028212,2097103645.450946
TOKAMAK_KRW,B,2025-08-04 15:00:00,2025.0229999999997,2025-08-05 00:00:00,2020.977,-0.001998001998001798,SL,1,-0.03161593720170077,51.92563080912755,2025.0229999999997,2023.0,4786633138.240445,2131155852.1790006
MNT_KRW,B,2025-08-05 00:00:00,1152.1509999999998,2025-08-06 00:00:00,1227.771,0.03231687903755676,Trail,2,0.0,61.67763157752716,1152.1509999999998,1234.0,6309175207.47826,4564755874.202853
ILV_KRW,B,2025-08-05 00:00:00,18558.539999999997,2025-08-06 00:00:00,27162.81,0.2313143022026518,Trail,2,0.0,72.10554658045183,18558.539999999997,27190.0,70443587681.43193,60293470086.207504
BICO_KRW,B,2025-08-05 15:00:00,159.159,2025-08-06 00:00:00,158.523,-0.003996003996003969,SL,1,-0.08267832796134678,49.41176469774395,159.159,159.0,2452455321.9866204,351107102.10984457
RPL_KRW,B,2025-08-06 00:00:00,9594.585,2025-08-07 00:00:00,10528.9,0.04768970361928113,Trail,2,0.0,58.22475570019297,9594.585,10550.0,2503369035.870907,1921167495.2597036
PUFFER_KRW,B,2025-08-06 00:00:00,274.548,2025-08-07 00:00:00,291.708,0.030751365881376017,Trail,2,0.0,54.399999993907194,274.548,292.0,1408502015.6645465,3787321392.0944347
POL_KRW,B,2025-08-06 15:00:00,312.624,2025-08-07 00:00:00,311.688,-0.0029940119760480176,SL,1,-0.01159220021495478,45.94594594015096,312.624,312.0,1662675777.7943528,3170701666.4353433
ONDO_KRW,B,2025-08-07 00:00:00,1303.302,2025-08-08 00:00:00,1367.631,0.024179237812878424,Trail,2,0.0,43.55468749880905,1303.302,1369.0,9779811057.29015,13361777002.132133
PENDLE_KRW,B,2025-08-07 00:00:00,5500.98,2025-08-08 00:00:00,6058.935,0.05021414547953284,Trail,2,0.0,50.10570824494652,5500.98,6065.0,1169009103.7485223,11661427346.961166
DYDX_KRW,B,2025-08-07 15:00:00,835.4989999999999,2025-08-08 00:00:00,828.835,-0.007976071784645912,SL,1,-0.023338148818849467,46.503496501220106,835.4989999999999,833.0,457206074.1018438,126468562.48791336
THE_KRW,B,2025-08-08 00:00:00,527.625,2025-08-08 15:00:00,526.0421249999999,-0.0030000000000001102,SL,1,-0.0011845534233593934,57.207207203599545,527.625,534.0,164884668.8091329,615406164.3091197
XRP_KRW,B,2025-08-08 00:00:00,4226.222,2025-08-09 00:00:00,4518.477,0.03407638997667419,Trail,2,0.0,65.64516128958144,4226.222,4523.0,611951722187.5275,288491018310.0557
